id,name,category,formula,source,n_inputs,operates_on,expected_gain,complexity,sym_robust,date_robust,priority
NF001,tick_size_ratio,lob_shape,tick / ((bid1+ask1)/2),LOBFrame Briola 2025 arxiv 2403.09267,1,bid1+ask1,medium,easy,low,low,P1
NF002,lob_predictability_proxy,lob_shape,1/(1 + spread/(rv_W20+eps)),LOBFrame Briola 2025,1,spread+rv_W20,medium,easy,low,low,P2
NF003,lob_vol_pct_L1_bid,lob_shape,bidsz1/sum(bidsz1..5),Crypto LOB Wang 2025 arxiv 2506.05764,1,bid_depth_1_5,medium,easy,low,low,P1
NF004,lob_vol_pct_L1_ask,lob_shape,asksz1/sum(asksz1..5),Crypto LOB Wang 2025 arxiv 2506.05764,1,ask_depth_1_5,medium,easy,low,low,P1
NF005,lob_entropy_bid,lob_shape,-sum(p_k*log(p_k+eps) for k=1..5) where p_k=bidsz_k/sum(bidsz),Crypto LOB Wang 2025,1,bid_depth_1_5,medium,easy,low,low,P1
NF006,lob_entropy_ask,lob_shape,-sum(p_k*log(p_k+eps)) where p_k=asksz_k/sum(asksz),Crypto LOB Wang 2025,1,ask_depth_1_5,medium,easy,low,low,P1
NF007,lob_depth_hhi_bid,lob_shape,sum((bidsz_k/sum_bidsz)^2 for k=1..5),Crypto LOB Wang 2025,1,bid_depth_1_5,low,easy,low,low,P2
NF008,lob_depth_hhi_ask,lob_shape,sum((asksz_k/sum_asksz)^2 for k=1..5),Crypto LOB Wang 2025,1,ask_depth_1_5,low,easy,low,low,P2
NF009,lob_depth_centroid_bid,lob_shape,sum(k*bidsz_k for k=1..5)/sum(bidsz_k),TLOB Berti & Kasneci 2025 arxiv 2502.15757,1,bid_depth_1_5,medium,easy,low,low,P1
NF010,lob_depth_centroid_ask,lob_shape,sum(k*asksz_k for k=1..5)/sum(asksz_k),TLOB Berti & Kasneci 2025,1,ask_depth_1_5,medium,easy,low,low,P1
NF011,lob_depth_centroid_asym,lob_shape,lob_depth_centroid_bid - lob_depth_centroid_ask,TLOB / Attention-LOB Kolbaek 2024 arxiv 2409.02277,1,bid+ask_depth,medium,easy,low,low,P1
NF012,lob_L2_L3_imb,lob_shape,((bidsz2-asksz2)+(bidsz3-asksz3))/(bidsz2+asksz2+bidsz3+asksz3),Attention-LOB Kolbaek 2024 arxiv 2409.02277,1,depth_L2_L3,medium,easy,low,low,P1
NF013,lob_slope_bid,lob_shape,cov([1..5] bidsz_1..5)/var([1..5]) numpy linear regression slope,HLOB ScienceDirect 2024,1,bid_depth_1_5,medium,easy,low,low,P2
NF014,lob_slope_ask,lob_shape,cov([1..5] asksz_1..5)/var([1..5]),HLOB ScienceDirect 2024,1,ask_depth_1_5,medium,easy,low,low,P2
NF015,mid_level_vol_ratio_bid,lob_shape,(bidsz3+bidsz4+bidsz5)/(bidsz1+bidsz2+eps),HLOB ScienceDirect 2024,1,bid_depth_1_5,medium,easy,low,low,P2
NF016,boltzmann_price_L5,lob_shape,sum_k(bid_k*asksz_k+ask_k*bidsz_k for k=1..5)/sum_k(bidsz_k+asksz_k),Boltzmann Price Rola 2025 arxiv 2507.09734,1,full_lob_5lvl,medium,easy,low,low,P2
NF017,boltzmann_vs_mid,lob_shape,boltzmann_price_L5 - (bid1+ask1)/2,Boltzmann Price Rola 2025,1,full_lob_5lvl,medium,easy,low,low,P2
NF018,microprice_L3_corr,microprice_advanced,microprice_L1 + a2*(imb2-imb1) + a3*(imb3-imb2) where a_k from training,Blakely 2024 arxiv 2411.13594,1,depth_L1_L3,high,medium,low,low,P1
NF019,microprice_residual_L1_L3,microprice_advanced,microprice_L3_corr - microprice_L1,Blakely 2024 arxiv 2411.13594,1,depth_L1_L3,high,easy,low,low,P1
NF020,obi_trade_filtered_W5,lob_filtration,(aggressive_buy_vol_W5 - aggressive_sell_vol_W5)/(total_trade_vol_W5+eps),LOB Filtration Anantha 2025 arxiv 2507.22712,1,trade_volume,high,medium,low,low,P1
NF021,obi_trade_filtered_W20,lob_filtration,(aggressive_buy_vol_W20 - aggressive_sell_vol_W20)/(total_trade_vol_W20+eps),LOB Filtration Anantha 2025,1,trade_volume,high,medium,low,low,P1
