id,name,category,formula,source_type,source,n_inputs,operates_on,expected_gain,implementation_complexity,sym_robustness_concern,date_robustness_concern,notes
F001,sym_pair_diff_mid,relative,x[sym=i,mid] - x[sym=j,mid] for (i j) in 10 pairs,paper,Avellaneda-Lee 2010 + v6_pairwise SOTA,2,mid_price,high,easy,medium,low,baseline v6_pairwise core; 10 pairs from C(5 2)
F002,sym_pair_diff_wmp,relative,x[sym=i,wmp_lvl1] - x[sym=j,wmp_lvl1],paper,Stoikov 2017 + v6_pairwise,2,wmp1,high,easy,low,low,WMP carries microprice info; pair diff captures relative micro
F003,sym_pair_diff_mp_t,relative,mp_t[i] - mp_t[j] (instantaneous mid),paper,v6_pairwise + Cont 2014,2,mp_t,high,easy,low,low,raw instantaneous mid pair diff (driver of v6 SOTA)
F004,sym_pair_diff_ofi_W5,relative,OFI_W5[i] - OFI_W5[j],paper,Cont-Kukanov-Stoikov 2014 + Cross-Impact 2023,2,ofi_W5,high,easy,low,low,OFI cross diff = cross-impact residual
F005,sym_pair_diff_ofi_W20,relative,OFI_W20[i] - OFI_W20[j],paper,MLOFI Xu et al 2019,2,ofi_W20,high,easy,low,low,medium horizon OFI pair diff
F006,sym_pair_diff_ofi_W60,relative,OFI_W60[i] - OFI_W60[j],paper,Cont 2014,2,ofi_W60,medium,easy,low,low,long horizon OFI pair diff
F007,sym_pair_diff_intst,relative,intst[i] - intst[j],paper,Easley-Lopez-O'Hara 2012 (VPIN),2,intst,medium,easy,medium,low,intensity diff captures trade activity asymmetry
F008,sym_pair_diff_spread,relative,(ask1[i]-bid1[i]) - (ask1[j]-bid1[j]),paper,Roll 1984 / Corwin-Schultz 2012,2,spread,medium,easy,low,low,liquidity asymmetry
F009,sym_pair_diff_imb1,relative,imb1[i] - imb1[j] where imb1=(bidsz1-asksz1)/(bidsz1+asksz1),paper,Stoikov 2017 microprice imbalance,2,bid_ask_size_lvl1,high,easy,low,low,top-of-book imbalance pair diff
F010,sym_pair_diff_logret_W5,relative,logret_W5[i] - logret_W5[j],paper,Avellaneda-Lee 2010 / Krauss 2017,2,logret_W5,high,easy,low,low,short-window pair return diff (mean-reverting signal)
F011,sym_pair_diff_logret_W20,relative,logret_W20[i] - logret_W20[j],paper,Krauss 2017,2,logret_W20,medium,easy,low,low,medium-window relative momentum
F012,sym_pair_diff_realvol_W20,relative,RV_W20[i] - RV_W20[j],paper,Barndorff-Nielsen 2004 / Optiver Kaggle,2,realized_vol,medium,easy,medium,low,realized vol asymmetry
F013,sym_pair_diff_bv_W30,relative,BV_W30[i] - BV_W30[j],paper,Barndorff-Nielsen-Shephard 2004,2,bipower_var,medium,easy,medium,low,bipower variation pair diff
F014,sym_pair_diff_jshare,relative,jshare[i] - jshare[j],paper,BNS 2006 jump test,2,jump_share,low,easy,high,medium,jump share asymmetry; high sym variance
F015,sym_pair_diff_microprice,relative,microprice[i] - microprice[j],paper,Stoikov 2017,2,microprice,high,easy,low,low,fair-value pair diff (martingale)
F016,sym_pair_diff_kyleinv,relative,kyleinv[i] - kyleinv[j],paper,Kyle 1985 / Hasbrouck 1991,2,kyleinv,medium,easy,medium,low,price impact coefficient asymmetry
F017,sym_pair_diff_tox,relative,ofi_tox[i] - ofi_tox[j],paper,Easley-Lopez-O'Hara 2012,2,vpin_toxicity,medium,easy,medium,low,toxicity asymmetry signal
F018,sym_pair_diff_depth_lvl5,relative,sum(bidsz_1..5)[i] - sum(bidsz_1..5)[j],paper,Cont-Kukanov-Stoikov 2014,2,bid_size_levels,medium,easy,low,low,5-level depth asymmetry
F019,sym_pair_diff_mlofi_lvl3,relative,mlofi_lvl3[i] - mlofi_lvl3[j],paper,Xu et al 2019 (MLOFI),2,mlofi_lvl3,high,easy,low,low,deep-book OFI diff (per Cont impact)
F020,sym_pair_diff_mlofi_lvl5,relative,mlofi_lvl5[i] - mlofi_lvl5[j],paper,Xu et al 2019,2,mlofi_lvl5,medium,easy,low,low,depth-5 OFI diff
F021,sym_pair_diff_dwap5,relative,wap[i] - wap[j] at level 5,paper,Optiver Kaggle WAP feature,2,wap_lvl5,high,easy,low,low,level-5 WAP pair diff
F022,sym_pair_diff_dwap_balance,relative,wap_balance[i] - wap_balance[j],paper,Stoikov 2017 + Optiver,2,wmp_balance_12,medium,easy,low,low,WAP balance between top levels diff
F023,sym_pair_diff_pricelv,relative,(ask_lvl10[i]-bid_lvl10[i]) - same(j),paper,Cont 2014,2,full_book_spread,low,easy,low,low,full-book spread (10-lvl) diff
